Feature,Importance
categorical__Product ID_L51776,0.0005457441713077493
categorical__Product ID_M15740,0.0005422504705784536
categorical__Product ID_L51716,0.0005420725956224895
categorical__Product ID_L56793,0.000540146178769368
categorical__Product ID_L49195,0.0005372764911003997
categorical__Product ID_L47926,0.0005365739676270044
categorical__Product ID_H32414,0.0005337724597624664
categorical__Product ID_M19033,0.0005225072792080332
categorical__Product ID_L48347,0.0005223261117078322
categorical__Product ID_L49511,0.0005197772628387738
categorical__Product ID_M22451,0.0005161536570960761
categorical__Product ID_L48775,0.0005138359728429018
categorical__Product ID_M23786,0.0005130379130076944
categorical__Product ID_L54936,0.0005118648244519123
categorical__Product ID_L53204,0.0005099406198147126
categorical__Product ID_L56847,0.000507438197244984
categorical__Product ID_L48514,0.000502904007247584
categorical__Product ID_M19393,0.0005020344295913861
categorical__Product ID_L51459,0.0004979494371000925
categorical__Product ID_L56833,0.0004973215621416177
categorical__Product ID_L51911,0.0004969317476742607
categorical__Product ID_L51251,0.0004947207404028677
categorical__Product ID_M19251,0.0004939297926099198
categorical__Product ID_L54939,0.0004934508006694101
categorical__Product ID_L50530,0.000491887067390441
categorical__Product ID_H33665,0.0004794498524048951
categorical__Product ID_M19221,0.00047012297809637853
categorical__Product ID_L54943,0.0004677192653319989
categorical__Product ID_L47249,0.0004607446584962041
categorical__Product ID_L51939,0.00046029757359824185
categorical__Product ID_L55375,0.00046015331886073327
categorical__Product ID_H33769,0.00045877324427010793
categorical__Product ID_L51621,0.00045829032510834853
categorical__Product ID_L53435,0.00045748269166967574
categorical__Product ID_H34175,0.0004562579964044284
categorical__Product ID_L48763,0.0004559325254734005
numeric__RNF,0.0004553020665856776
categorical__Product ID_M18981,0.000449609502885716
categorical__Product ID_L51928,0.0004470113479457793
categorical__Product ID_M19416,0.00044407006325118356
categorical__Product ID_L54849,0.00044269096968963396
categorical__Product ID_L55106,0.00044114232546929187
categorical__Product ID_L52116,0.0004403881626561266
categorical__Product ID_L56834,0.0004332811376394813
categorical__Product ID_L51585,0.00043096978594904837
categorical__Product ID_M19525,0.00043039862682177447
categorical__Product ID_L49941,0.0004302862827955221
categorical__Product ID_H34462,0.00042579023834810194
categorical__Product ID_M19704,0.0004256255749632735
categorical__Product ID_M20261,0.00042555357903670775
categorical__Product ID_L47340,0.00042210378259722575
categorical__Product ID_L51365,0.0004205321807979404
categorical__Product ID_M16184,0.00041996895763068254
categorical__Product ID_L54347,0.00041761961675810486
